编号,公司/单位,采样/报告时间,猪种,世代划分/特殊处理,耳号,性别/阉割,日龄,体重kg,切肉重, 倒数三四膘厚,胴体全重,计算半胴体重（kg）,左胴体重,右胴体重,半胴体重差值（kg）,前腿重（kg),背腰重（kg）,后腿重（kg）,左侧胴体合计,后腿比例,前腿骨（kg）,前腿肉（kg）,前腿皮脂（kg）,背腰骨（kg）,背腰肉（kg）,背腰皮脂（kg）,后腿骨（kg）,后腿肉（kg）,后腿皮脂（kg）,腿臀重（kg）,腿臀骨重,腿臀肉重,腿臀皮重,骨（kg）,肉（kg）,皮重,皮脂（kg）,屠宰率,体长cm,胴体（斜）长,管围,臀围,体高（cm）,6-7肋处,胸腰结合处,腰荐结合处,肩部最厚处,平均膘厚,6-7肋皮厚mm,眼肌高cm,眼肌宽cm,面积cm2,眼肌厚度（cm2）,板油重kg,瘦肉率1（半胴体）,瘦肉率%,,皮脂率%,骨  率%,腿臀比%,心（kg）,肝（kg）,脾（kg）,肺（kg）,肾（kg）,睾丸（双）,胃加大肠（kg）,内脏总重（kg）,目距（kg）,（半）板油（kg）,板油重kg,肾加板油（kg）,头（kg）,前蹄（kg）,后蹄（kg）,睾丸（kg）,腰肌重（kg）,眼肌重（kg）,肋排（kg）,槽头肉（kg）,梅花（kg）,半腱、半膜（kg）,胸围（cm）,胸宽,胸深,腹围（cm）,背膘厚(mm),耳长（cm),耳宽（cm),头长（cm),头高（cm),嘴长（cm),吻高（cm),吻宽（cm),两眼间内间距,下眼眶至吻突,小肠长（cm),乳头数(对),颈椎长度（cm）,颈椎数目,胸椎长度（cm）,胸椎数目,第1胸椎棘突高cm,腰椎长度（cm）,腰椎数目,第1腰椎棘突高cm,6-7肋肋弓宽cm,肋骨（根）,眼肌pH45min,眼肌pH24h,眼肌pH48h,眼肌pH72h,眼肌pH96h,腰肌pH45min,腰肌pH24h,腰肌pH48h,腰肌pH72h,腰肌pH96h,眼肌肉色L值45min,眼肌肉色a值45min,眼肌肉色b值45min,眼肌肉色L值24h,眼肌肉色a值24h,眼肌肉色b值24h,眼肌肉色L值48h,眼肌肉色a值48h,眼肌肉色b值48h,眼肌肉色L值72h,眼肌肉色a值72h,眼肌肉色b值72h,眼肌肉色L值96h,眼肌肉色a值96h,眼肌肉色b值96h,腰肌肉色L值45min,腰肌肉色a值45min,腰肌肉色b值45min,腰肌肉色L值24h,腰肌肉色a值24h,腰肌肉色b值24h,腰肌肉色L值48h,腰肌肉色a值48h,腰肌肉色b值48h,腰肌肉色L值72h,腰肌肉色a值72h,腰肌肉色b值72h,腰肌肉色L值96h,腰肌肉色a值96h,腰肌肉色b值96h,嫩度(眼),韧性(眼),嫩度(腰),韧性(腰),滴水损失(眼),滴水损失(腰),压水(眼),压水(腰),大理石纹(眼),大理石纹(腰),眼肌力度,眼肌韧度(kg. sec),腰肌力度,腰肌韧度(kg. sec)
264,成华,2019.12.11,成华,,323-4,母,282,110,,,79.61,,41.1,38.51,,,,,,,,,,,,,,,,,,,,,,,,72.37272727,87,78,,,,43.54,35.23,39.57,56.94,43.91333333,6.7,3.568,5.234,13.0724384,,1.45,,0.342579075,,0.366909976,0.089294404,0.272749392,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.853333333,6.04,,,,6.826666667,6.32,,,,39.24333333,5.503333333,3.77,43.84,7.02,7.28,,,,,,,,,,36.97333333,21.27666667,8,39.75,14.90333333,10.37,,,,,,,,,,17.69433567,81.20281533,,,3.125,,,,,,,,,
265,成华,2019.12.11,成华,,296-2,母,293,120,,,86.57,,43.6,42.97,,,,,,,,,,,,,,,,,,,,,,,,72.14166667,95.5,83.5,,,,54.2,45.73,39.85,65.25,50.27666667,6.03,3.098,4.515,9.791229,,1.95,,0.336697248,,0.371100917,0.087614679,0.246330275,,,,,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.536666667,5.81,,,,6.84,6.183333333,,,,42.50666667,8.686666667,5.323333333,50.88,9.903333333,10.54,,,,,,,,,,36,18.06,6.67,43.68333333,18.82666667,14.17,,,,,,,,,,17.080066,89.156855,,,1.479289941,,,,,,,,,
266,成华,2019.12.11,成华,,299-3,公,292,104,,,77.284,,39.214,38.07,,,,,,,,,,,,,,,,,,,,,,,,74.31153846,93.5,81.5,,,,39.29,42.9,36.76,59.64,46.43333333,8.18,3.627,4.932,12.5218548,,1.72,,0.330749222,,0.359055439,0.09256898,0.243280461,,,,,,,,,,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.65,5.936666667,,,,6.646666667,6.456666667,,,,45.16,5.96,4.153333333,46.31666667,7.956666667,8.58,,,,,,,,,,40.11333333,18.17333333,6.496666667,41.81333333,14.36333333,7.996666667,,,,,,,,,,32.214235,130.7101187,,,0.557103064,,,,,,,,,
267,成华,2019.12.11,成华,,298-1,公,292,110,,,88.268,,46.748,41.52,,,,,,,,,,,,,,,,,,,,,,,,80.24363636,91.5,81,,,,48.05,34.39,43.37,61.96,46.57333333,6.49,4.957,4.92,17.071908,,2.32,,0.326003251,,0.402156242,0.083212116,0.234020707,,,,,,,,,,,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.476666667,5.766666667,,,,6.616666667,6.61,,,,45.34,7.123333333,5.433333333,46.63333333,9.196666667,9.413333333,,,,,,,,,,36.15666667,18.04,6.13,37.01666667,13.93333333,8.313333333,,,,,,,,,,24.32357633,125.9543097,,,1.570680628,,,,,,,,,
268,成华,2019.12.11,成华,,299-14,母,292,111,,,83.23,,42.96,40.27,,,,,,,,,,,,,,,,,,,,,,,,74.98198198,97,83,,,,48.94,28.19,34.26,63.11,41.85333333,7.33,3.785,4.814,12.754693,,2,,0.348696462,,0.350325885,0.096368715,0.234636872,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.256666667,6.166666667,,,,6.25,6.26,,,,40.06666667,8.456666667,3.423333333,42.90333333,7.743333333,6.706666667,,,,,,,,,,41.18666667,20.78,7.216666667,44.09333333,16.48333333,11.19,,,,,,,,,,15.03951267,51.819381,,,1.823708207,,,,,,,,,
269,成华,2019.12.11,成华,,296-4,母,293,99,,,71.62,,36.22,35.4,,,,,,,,,,,,,,,,,,,,,,,,72.34343434,87.5,80,,,,44.08,33.86,34.73,54.07,40.88666667,6.19,4.133,4.682,13.5454942,,1.2,,0.377139702,,0.309497515,0.102153506,0.259525124,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.573333333,6.223333333,,,,6.386666667,6.35,,,,40.64333333,4.25,3.286666667,40.49666667,3.87,4.523333333,,,,,,,,,,38.74333333,19.45333333,7.076666667,39.66,14.50333333,8.146666667,,,,,,,,,,12.42505333,64.97180733,,,1.492537313,,,,,,,,,
270,成华,2019.12.11,成华,,298-4,母,292,98,,,72.52,,36.79,35.73,,,,,,,,,,,,,,,,,,,,,,,,74,89,78,,,,42.62,42.29,33.18,61.37,45.61333333,5.15,4.533,4.535,14.3900085,,1.43,,0.362598532,,0.381353629,0.086708345,0.26338679,,,,,,,,,,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.566666667,6.643333333,,,,6.756666667,6.523333333,,,,39.34666667,6.606666667,2.75,39.69333333,6.146666667,3.31,,,,,,,,,,39.75,20.1,7.826666667,41.68666667,10.93666667,7.196666667,,,,,,,,,,38.87692233,180.6297303,,,1.652892562,,,,,,,,,
271,成华,2019.12.11,成华,,305-5,公,290,125,,,101.33,,52.72,48.61,,,,,,,,,,,,,,,,,,,,,,,,81.064,93.5,81.5,,,,53.41,33.42,35.52,72.2,47.04666667,7.72,4.213,4.455,13.1382405,,2.51,,0.314871017,,0.438353566,0.073786039,0.231221548,,,,,,,,,,,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.533333333,6.166666667,,,,6.593333333,6.583333333,,,,45.96666667,5.76,5.02,48.13,7.85,8.873333333,,,,,,,,,,37.97666667,17.83666667,5.796666667,39.75333333,15.42,7.966666667,,,,,,,,,,7.942297667,37.29180533,,,0.338983051,,,,,,,,,
272,成华,2019.12.11,成华,,310-13,公,286,126,,,97.36,,50.7,46.66,,,,,,,,,,,,,,,,,,,,,,,,77.26984127,97,84,,,,50,31.16,40.67,68.2,46.67666667,5.11,3.627,4.603,11.6865567,,2.4,,0.338856016,,0.381262327,0.084023669,0.252465483,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.326666667,5.636666667,,,,6.506666667,6.123333333,,,,42.92666667,5.94,3.15,45.11666667,9.42,9.003333333,,,,,,,,,,38.48666667,20.25333333,7.13,40.11,13.94333333,9.8,,,,,,,,,,10.93016967,43.12553333,,,1.734104046,,,,,,,,,
273,成华,2019.12.11,成华,,323-5,公,282,113,,,84.74,,43.81,40.93,,,,,,,,,,,,,,,,,,,,,,,,74.99115044,87,79,,,,47.76,28.69,36,54.31,39.66666667,8.23,4.718,4.505,14.878213,,2.06,,0.368180781,,0.331202922,0.089705547,0.263181922,,,,,,,,,,,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.393333333,5.746666667,,,,6.646666667,6.34,,,,43.74333333,5.036666667,4.553333333,45.85333333,6.333333333,7.043333333,,,,,,,,,,39.33,23.39333333,9.666666667,42.17,17.59,9.066666667,,,,,,,,,,14.54671333,52.826055,,,1.694915254,,,,,,,,,
274,成华,2019.12.11,巴成,,356-3,公,239,122,,,96.25,,49.75,46.5,,,,,,,,,,,,,,,,,,,,,,,,78.89344262,93,81,,,,46.2,36.75,35.45,60.48,44.22666667,5.29,4.992,5.991,20.9349504,,1.54,,0.382512563,,0.32160804,0.078994975,0.240201005,,,,,,,,,,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.643333333,5.943333333,,,,6.896666667,6.476666667,,,,44.60333333,2.673333333,2.98,52.06,5.023333333,7.63,,,,,,,,,,42.46333333,17.23,7.206666667,43.42666667,19.49,10.99666667,,,,,,,,,,14.41927333,53.437384,,,2.046783626,,,,,,,,,
275,成华,2019.12.11,巴成,,352-11,公,244,119.5,,,97.76,,50.07,47.69,,,,,,,,,,,,,,,,,,,,,,,,81.80753138,98.5,85,,,,49.11,30.14,35.14,68.9,44.72666667,6.65,5.34,5.182,19.370316,,1.56,,0.384661474,,0.34711404,0.091072499,0.237467545,,,,,,,,,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.243333333,5.713333333,,,,6.62,5.786666667,,,,41.22333333,5.703333333,3.14,47.96333333,9.036666667,9.303333333,,,,,,,,,,40.34666667,17.60666667,6.8,40.70666667,16.19333333,10.16,,,,,,,,,,18.17045867,60.154755,,,1.719197708,,,,,,,,,
276,成华,2019.12.11,巴成,,346-9,公,254,121,,,90.76,,42.86,47.9,,,,,,,,,,,,,,,,,,,,,,,,75.00826446,98,84,,,,45.53,33.37,40.43,57.76,43.85333333,6.92,5.806,5.928,24.0925776,,1.6,,0.480167989,,0.355342977,0.091693887,0.283014466,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.046666667,6.01,,,,6.13,6.173333333,,,,43.42666667,7.52,3.9,46.26333333,8.91,6.15,,,,,,,,,,42.34,18.87333333,6.99,41.34333333,19.68333333,11.91,,,,,,,,,,17.929507,73.43016567,,,1.507537688,,,,,,,,,
277,成华,2019.12.11,巴成,,349-3,公,251,123,,,96.72,,49.27,47.45,,,,,,,,,,,,,,,,,,,,,,,,78.63414634,99,85.4,,,,40.95,31.05,37.73,52.5,40.42666667,5.66,4.784,4.599,15.4011312,,2.02,,0.393545768,,0.321696773,0.085650497,0.281915973,,,,,,,,,,,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.013333333,5.626666667,,,,6.116666667,6.05,,,,41.03666667,5.46,2.86,44.29,10.21333333,10.72666667,,,,,,,,,,41.05,14.72,5.783333333,41.47333333,11.95333333,7.316666667,,,,,,,,,,16.01212967,81.896196,,,1.295336788,,,,,,,,,
278,成华,2019.12.11,巴成,,356-2,母,239,116,,,89.13,,45.63,43.5,,,,,,,,,,,,,,,,,,,,,,,,76.8362069,95.5,82,,,,42.62,33.25,34.07,51.5,39.60666667,5.67,5.554,5.039,19.5906242,,2.11,,0.429541968,,0.285996055,0.091387245,0.266053035,,,,,,,,,,,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.813333333,5.533333333,,,,6.056666667,6.046666667,,,,41.75333333,4.3,2.233333333,47.07,7.136666667,7.556666667,,,,,,,,,,40.35,15.52333333,5.716666667,40.68,14.45333333,6.856666667,,,,,,,,,,11.19206133,40.07070833,,,1.396648045,,,,,,,,,
279,成华,2019.12.11,巴成,,349-2,母,251,123,,,97.08,,48.88,48.2,,,,,,,,,,,,,,,,,,,,,,,,78.92682927,101,87,,,,43.44,30.11,32.38,44.51,35.66666667,4,4.818,4.628,15.6083928,,2.84,,0.384410802,,0.329582651,0.085924714,0.277618658,,,,,,,,,,,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.956666667,5.953333333,,,,6.1,6.013333333,,,,44.45,5.753333333,4.563333333,45.56,6.816666667,6.693333333,,,,,,,,,,40.84,18.78,6.403333333,42.69333333,13.75,9.28,,,,,,,,,,11.55467233,41.30991333,,,1.557632399,,,,,,,,,
280,成华,2019.12.11,巴成,,358-3,公,233,122.5,,,95.32,,49.65,45.67,,,,,,,,,,,,,,,,,,,,,,,,77.8122449,95,80,,,,50.43,39.43,32.89,54.45,42.25666667,5.67,5.551,5.54,21.526778,,2.2,,0.399194361,,0.341792548,0.081570997,0.279556898,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.846666667,5.76,,,,6.163333333,6.14,,,,43.31666667,6.323333333,3.643333333,45.4,5.983333333,6.343333333,,,,,,,,,,38.51,16.78666667,5.986666667,40.40333333,15.77333333,7.683333333,,,,,,,,,,21.265399,80.491664,,,1.524390244,,,,,,,,,
281,成华,2019.12.11,巴成,,353-8,母,244,110.5,,,86.14,,44.48,41.66,,,,,,,,,,,,,,,,,,,,,,,,77.95475113,89,78,,,,47.75,37.92,32.75,50.31,40.32666667,6.82,5.023,5.506,19.3596466,,1.85,,0.395008993,,0.320818345,0.077113309,0.287994604,,,,,,,,,,,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.383333333,5.566666667,,,,6.463333333,5.8,,,,42.08333333,4.883333333,3.54,44.76,6.913333333,7.096666667,,,,,,,,,,36.86,17.7,6.453333333,39.96333333,14.32333333,8.81,,,,,,,,,,13.14572833,49.019547,,,2.114803625,,,,,,,,,
282,成华,2019.12.11,巴成,,346-2,母,254,117.5,,,88.13,,43.97,44.16,,,,,,,,,,,,,,,,,,,,,,,,75.00425532,96,85,,,,38.93,31.62,29.2,43.7,34.84,5.27,5.808,5.787,23.5276272,,2.04,,0.41505572,,0.302706391,0.089151694,0.309529224,,,,,,,,,,,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.006666667,6.183333333,,,,6.32,5.956666667,,,,41.50666667,6.36,2.5,41.64,13.37333333,8.456666667,,,,,,,,,,39.73666667,14.38333333,4.863333333,45.04333333,6.67,4.6,,,,,,,,,,13.67481633,54.993898,,,1.785714286,,,,,,,,,
283,成华,2019.12.11,巴成,,353-14,母,244,115,,,88.73,,44.72,44.01,,,,,,,,,,,,,,,,,,,,,,,,77.15652174,95,83,,,,47.54,30.56,36.29,49.82,38.89,5.74,5.39,5.13,19.35549,,1.89,,0.394454383,,0.346601073,0.08273703,0.256708408,,,,,,,,,,,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.59418467,75.06797067,,,1.84501845,,,,,,,,,
284,成华,,成华,,646,母,13,111.5,,,83.6739,,41.384,42.2899,,,,,,,,,,,,,,,,,,,,,,,,0.750438565,73,72,,,,33.61,45.2,27.12,45.52,39.28,7.21,5.513,7.028,27.1217548,,1.86,,0.402201177,,0.489122089,0.108676734,0.287937367,,,,,,,,,,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,5.203333333,,,,6.243333333,5.52,,,,44.70666667,5.793333333,5.613333333,46.69,7.98,7.25,,,,,,,,,,38.19,17.67666667,6.836666667,40.96333333,20.68333333,10.67666667,,,,,,,,,,,,,,0.013986014,,,,,,,,,
285,成华,,成华,,619,公,12,98,,,71.4866,,36.21,35.2766,,,,,,,,,,,,,,,,,,,,,,,,0.729455102,68,66,,,,27.15,38.85,22.74,44.36,35.31666667,6.13,5.343,6.341,23.7159741,,1.42,,0.398759852,,0.483599907,0.117640241,0.271748136,,,,,,,,,,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.813333333,6.096666667,,,,6.453333333,5.943333333,,,,46.66666667,6.04,6.38,45.93333333,7.046666667,6.54,,,,,,,,,,40.05,17.20333333,7.35,47.19333333,16.82333333,9.956666667,,,,,,,,,,,,,,0.035433071,,,,,,,,,
286,成华,,成华,,607,公,13,96.5,,,71.209,,35.866,35.343,,,,,,,,,,,,,,,,,,,,,,,,0.737917098,66,62,,,,32.04,44.13,20.14,46,36.75666667,7.72,5.416,6.418,24.3319216,,1.154,,0.41086262,,0.483473715,0.105663665,0.248145876,,,,,,,,,,,1.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,6.146666667,,,,6.2,6.26,,,,45.30333333,5.273333333,5.753333333,47.44666667,8.63,7.51,,,,,,,,,,41.98666667,17.47,7.696666667,45.78333333,17.47,9.223333333,,,,,,,,,,,,,,0.018348624,,,,,,,,,
287,成华,,成华,,611,公,13,114,,,85.4822,,43.362,42.1202,,,,,,,,,,,,,,,,,,,,,,,,0.74984386,71,66,,,,30.91,22.12,26.12,57.04,35.09333333,6.11,5.714,6.718,26.8706564,,1.76,,0.440718388,,0.468947727,0.090333885,0.236151469,,,,,,,,,,,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.796666667,6.086666667,,,,6.45,6.4,,,,48.38333333,7.123333333,7.566666667,48.93666667,10.57,7.853333333,,,,,,,,,,47.38,12.26,4.626666667,46.77666667,21.98666667,11.61666667,,,,,,,,,,,,,,0.025316456,,,,,,,,,
288,成华,,成华,,553,公,13,105.5,,,78.2259,,39.55,38.6759,,,,,,,,,,,,,,,,,,,,,,,,0.741477725,74,71,,,,31.36,24.68,34.04,67,41.90666667,8.16,4.42,7.41,22.92654,,1.362,,0.438993445,,0.456491859,0.104514697,0.247939317,,,,,,,,,,,1.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.82,6.166666667,,,,6.853333333,5.156666667,,,,46.31666667,10.45333333,7.36,44.15666667,17.96333333,9.656666667,,,,,,,,,,44.22,12.91,6.856666667,51.42333333,9.663333333,8.213333333,,,,,,,,,,,,,,0.012820513,,,,,,,,,
289,成华,,成华,,560,母,14,98,,,72.9628,,37.186,35.7768,,,,,,,,,,,,,,,,,,,,,,,,0.744518367,76,69,,,,36.08,22.17,23.12,52.14,32.47666667,6.08,4.828,6.336,21.4131456,,1.654,,0.440569355,,0.46024725,0.099183396,0.253590061,,,,,,,,,,,1.654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.556666667,6.013333333,,,,6.303333333,6.286666667,,,,52.05333333,8.463333333,7.67,51.11333333,14.00333333,9.75,,,,,,,,,,38.55333333,17.61666667,7.343333333,40.89666667,17.89333333,9.323333333,,,,,,,,,,,,,,0.021472393,,,,,,,,,
290,成华,,成华,,592,母,13,120.5,,,91.7342,,48.328,43.4062,,,,,,,,,,,,,,,,,,,,,,,,0.761279668,78,73,,,,40,30.02,29.11,56.12,38.41666667,7.36,5.592,6.628,25.9446432,,2.318,,0.42,,0.486008772,0.093991228,0.244289025,,,,,,,,,,,2.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.786666667,6.28,,,,6.113333333,6.083333333,,,,47.59666667,8.17,6.233333333,45.00666667,9.21,7.536666667,,,,,,,,,,39.79666667,16.08,6.45,43.79333333,18.66666667,9.57,,,,,,,,,,,,,,0.017793594,,,,,,,,,
291,成华,,成华,,564,母,13,117.5,,,87.2632,,44.338,42.9252,,,,,,,,,,,,,,,,,,,,,,,,0.742665532,77,73,,,,47.68,31.68,34.18,59,41.62,4.144,5.202,6.756,24.6012984,,2.102,,0.458886826,,0.445745846,0.095367328,0.253191393,,,,,,,,,,,2.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.536666667,5.023333333,,,,6.073333333,5.943333333,,,,49.42333333,8.54,6.616666667,52.02333333,11.50333333,7.743333333,,,,,,,,,,41.51666667,17.72,7.36,45.98333333,18.63,10.46666667,,,,,,,,,,,,,,0.015673981,,,,,,,,,
292,成华,,成华,,589,公,14,102.5,,,74.88,,38.208,36.672,,,,,,,,,,,,,,,,,,,,,,,,0.730536585,76,73,,,,29.26,17,16.3,50.3,27.86666667,8.22,5.238,8.052,29.5234632,,1.502,,0.437704662,,0.449399657,0.112895681,0.257537688,,,,,,,,,,,1.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.526666667,5.05,,,,5.68,5.6,,,,46.04333333,8.516666667,7.456666667,53.40666667,11.00333333,8.743333333,,,,,,,,,,44.44333333,20.39,8.52,48.05666667,21.07,11.9,,,,,,,,,,,,,,0.030985915,,,,,,,,,
293,成华,,成华,,600,母,13,108.5,,,81.065,,40.286,40.779,,,,,,,,,,,,,,,,,,,,,,,,0.747142857,73,69,,,,41.32,23.56,27.58,61.14,37.42666667,6.14,5.748,6.446,25.9361256,,1.72,,0.446453771,,0.457429572,0.096116657,0.251005312,,,,,,,,,,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.806666667,6.726666667,,,,6.28,6.22,,,,48.63333333,6.613333333,7.11,43.44666667,8.76,5.866666667,,,,,,,,,,40.91333333,15.07333333,6.986666667,44.34333333,18.22,8.846666667,,,,,,,,,,,,,,0.01875,,,,,,,,,
294,成华,,成华,,591,公,14,109.5,,,82.322,,40.946,41.376,,,,,,,,,,,,,,,,,,,,,,,,0.751799087,77,74,,,,36.2,21.28,25.98,52.22,33.16,6.38,6.44,6.748,30.419984,,1.94,,0.477927858,,0.423847229,0.098224913,0.250329703,,,,,,,,,,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.616666667,6.096666667,,,,5.953333333,5.953333333,,,,52.79333333,6.1,7.663333333,48.45,8.716666667,7.456666667,,,,,,,,,,48.36666667,10.88333333,4.516666667,50.95,11.85333333,7.943333333,,,,,,,,,,,,,,0.021798365,,,,,,,,,
295,成华,,成华,,561,公,13,98,,,73.074,,36.41,36.664,,,,,,,,,,,,,,,,,,,,,,,,0.745653061,75,71,,,,37.7,25.62,24.86,59.6,36.69333333,5.66,4.468,6.096,19.0658496,,1.624,,0.453564592,,0.437264342,0.109171066,0.232793189,,,,,,,,,,,1.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.743333333,5.666666667,,,,5.963333333,5.77,,,,42.85,10.72333333,7.476666667,45.56,8.363333333,6.92,,,,,,,,,,42.27333333,15.57,6.906666667,43.10666667,19.5,9.09,,,,,,,,,,,,,,0.013812155,,,,,,,,,
296,成华,,成华,,616,母,13,108.5,,,81.212,,40.11,41.102,,,,,,,,,,,,,,,,,,,,,,,,0.748497696,78,73,,,,34,29.2,22.02,53.7,34.97333333,6.02,5.5,6.46,24.871,,1.946,,0.468050188,,0.433003335,0.098946477,0.234455248,,,,,,,,,,,1.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.52,5.223333333,,,,5.936666667,5.686666667,,,,49.54666667,7.186666667,7.116666667,53.34,11.70333333,6.766666667,,,,,,,,,,42.20333333,18.80666667,8.463333333,47.42333333,19.78666667,11.44666667,,,,,,,,,,,,,,0.011940299,,,,,,,,,
297,成华,,成华,,639,公,13,105,,,76.8857,,39.92,36.9657,,,,,,,,,,,,,,,,,,,,,,,,0.732244762,78,73,,,,38.76,38.6,29.7,53,40.43333333,6.64,4.246,6.474,19.2420228,,1.982,,0.442649091,,0.443233762,0.114117147,0.261723447,,,,,,,,,,,1.982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.63,6.013333333,,,,6.136666667,6.403333333,,,,47.90333333,8.776666667,6.76,48.21666667,10.91333333,8.053333333,,,,,,,,,,41.95666667,19.09666667,8.253333333,43.55,22.89333333,10.24333333,,,,,,,,,,,,,,0.021818182,,,,,,,,,
298,成华,,成华,,575,公,13,99,,,72.4592,,35.38,37.0792,,,,,,,,,,,,,,,,,,,,,,,,0.731911111,77,71,,,,33.36,20.08,21.34,50.02,30.48,4.46,4.342,5.326,16.1878444,,1.914,,0.47334819,,0.436246461,0.090405348,0.236630865,,,,,,,,,,,1.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.533333333,5.95,,,,6.21,6.02,,,,50.68666667,8.663333333,8.81,57.00666667,13.84333333,9.753333333,,,,,,,,,,40.48666667,16.00666667,5.88,44.78,19.94666667,9.753333333,,,,,,,,,,,,,,0.02189781,,,,,,,,,
299,成华,,成华,,634,母,13,99.5,,,73.9786,,37.14,36.8386,,,,,,,,,,,,,,,,,,,,,,,,0.743503518,75,71,,,,32.36,33.42,21.44,50.58,35.14666667,6.04,5.108,6.156,22.0113936,,1.794,,0.487284988,,0.407680439,0.105034573,0.254711901,,,,,,,,,,,1.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,5.616666667,,,,6.156666667,5.686666667,,,,45.69333333,8.123333333,7.04,52.25,10.75333333,8.176666667,,,,,,,,,,40.79333333,14.59333333,5.526666667,45.94,16.15,7.98,,,,,,,,,,,,,,0.026022305,,,,,,,,,
300,成华,,成华,,523,公,13,108,,,80.21,,40.38,39.83,,,,,,,,,,,,,,,,,,,,,,,,0.742685185,79,75,,,,32.6,22.3,28.02,52.16,34.16,5.5,5.044,6.984,24.6591072,,1.476,,0.454162769,,0.43171188,0.114125351,0.237939574,,,,,,,,,,,1.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.676666667,6.783333333,,,,5.85,6.076666667,,,,44.41,8.15,6.633333333,44.10333333,7.823333333,6.76,,,,,,,,,,38.52333333,19.78666667,7.426666667,43.31,21.55,11.50666667,,,,,,,,,,,,,,0.020979021,,,,,,,,,
301,成华,,成华,,648,母,13,105,,,77.5288,,39.05,38.4788,,,,,,,,,,,,,,,,,,,,,,,,0.738369524,77,69,,,,32.82,23.94,20.2,60.82,34.98666667,6.92,5.502,7.908,30.4568712,,1.332,,0.464788732,,0.433251107,0.10196016,0.246043534,,,,,,,,,,,1.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.53,6.57,,,,5.92,6.186666667,,,,47.67666667,6.816666667,6.14,44.38,7.193333333,6.18,,,,,,,,,,43.18333333,18.84,8.31,48.57,19.15666667,10.38333333,,,,,,,,,,,,,,0.015673981,,,,,,,,,
