编号,公司/单位,采样/报告时间,猪种,世代划分/特殊处理,耳号,性别/阉割,日龄,体重kg,切肉重, 倒数三四膘厚,胴体全重,计算半胴体重（kg）,左胴体重,右胴体重,半胴体重差值（kg）,前腿重（kg),背腰重（kg）,后腿重（kg）,左侧胴体合计,后腿比例,前腿骨（kg）,前腿肉（kg）,前腿皮脂（kg）,背腰骨（kg）,背腰肉（kg）,背腰皮脂（kg）,后腿骨（kg）,后腿肉（kg）,后腿皮脂（kg）,腿臀重（kg）,腿臀骨重,腿臀肉重,腿臀皮重,骨（kg）,肉（kg）,皮重,皮脂（kg）,屠宰率,体长cm,胴体（斜）长,管围,臀围,体高（cm）,6-7肋处,胸腰结合处,腰荐结合处,肩部最厚处,平均膘厚,6-7肋皮厚mm,眼肌高cm,眼肌宽cm,面积cm2,眼肌厚度（cm2）,板油重kg,瘦肉率1（半胴体）,瘦肉率%,,皮脂率%,骨  率%,腿臀比%,心（kg）,肝（kg）,脾（kg）,肺（kg）,肾（kg）,睾丸（双）,胃加大肠（kg）,内脏总重（kg）,目距（kg）,（半）板油（kg）,板油重kg,肾加板油（kg）,头（kg）,前蹄（kg）,后蹄（kg）,睾丸（kg）,腰肌重（kg）,眼肌重（kg）,肋排（kg）,槽头肉（kg）,梅花（kg）,半腱、半膜（kg）,胸围（cm）,胸宽,胸深,腹围（cm）,背膘厚(mm),耳长（cm),耳宽（cm),头长（cm),头高（cm),嘴长（cm),吻高（cm),吻宽（cm),两眼间内间距,下眼眶至吻突,小肠长（cm),乳头数(对),颈椎长度（cm）,颈椎数目,胸椎长度（cm）,胸椎数目,第1胸椎棘突高cm,腰椎长度（cm）,腰椎数目,第1腰椎棘突高cm,6-7肋肋弓宽cm,肋骨（根）,眼肌pH45min,眼肌pH24h,眼肌pH48h,眼肌pH72h,眼肌pH96h,腰肌pH45min,腰肌pH24h,腰肌pH48h,腰肌pH72h,腰肌pH96h,眼肌肉色L值45min,眼肌肉色a值45min,眼肌肉色b值45min,眼肌肉色L值24h,眼肌肉色a值24h,眼肌肉色b值24h,眼肌肉色L值48h,眼肌肉色a值48h,眼肌肉色b值48h,眼肌肉色L值72h,眼肌肉色a值72h,眼肌肉色b值72h,眼肌肉色L值96h,眼肌肉色a值96h,眼肌肉色b值96h,腰肌肉色L值45min,腰肌肉色a值45min,腰肌肉色b值45min,腰肌肉色L值24h,腰肌肉色a值24h,腰肌肉色b值24h,腰肌肉色L值48h,腰肌肉色a值48h,腰肌肉色b值48h,腰肌肉色L值72h,腰肌肉色a值72h,腰肌肉色b值72h,腰肌肉色L值96h,腰肌肉色a值96h,腰肌肉色b值96h,嫩度(眼),韧性(眼),嫩度(腰),韧性(腰),滴水损失(眼),滴水损失(腰),压水(眼),压水(腰),大理石纹(眼),大理石纹(腰),眼肌力度,眼肌韧度(kg. sec),腰肌力度,腰肌韧度(kg. sec)
11,巴山牧业,2017.4.20,青峪猪,,,公,180,60.2,,,43.64,,,,,,,,,,,,,,,,,,,,,,,,,,,72.49%,64,,,,,4,2.4,3.56,4.22,3.393,,3.12,7.33,22.8696,,1.03,,0.45,,0.4686,0.0805,24.38%,,,,,,,,,,,103.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692.00%,618.00%,603.00%,598.00%,,6.38,6.31,6.35,6.27,,40.27,9.1,0.62,43.91,7.68,2.44,46.39,6.73,1.19,46.74,6.78,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,巴山牧业,2017.5.18,青峪猪,,QY1,公,240,93.4,,,69.32,,,,,,,,,,,,,,,,,,,,,,,,,,,74.22%,80,,,,,3.6,3.02,3.44,5.24,3.9,,2.96,8.32,17.24,,2.51,,0.4001,,0.5129,0.087,24.06%,,,,,,,,,,,251.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.00%,581.00%,577.00%,579.00%,,6.29,6.12,6.09,6.13,,44.44,8.59,1.76,43.7,7.31,3.27,45.59,7.16,2.72,41.26,8.8,1.78,,,,40.36,17.47,2.02,40.13,13.98,6.52,40.33,12.77,6.07,39.51,17.25,5.66,,,,,,,,2.34,,,,4,,7.21,33.99,12.33,60.6
13,巴山牧业,2017.5.18,青峪猪,,QY2,母,240,84.6,,,65.76,,,,,,,,,,,,,,,,,,,,,,,,,,,77.73%,70,,,,,4.28,3.2,3.8,5.87,4.29,,3.3,7.9,18.25,,1.76,,0.3896,,0.5298,0.0806,24.94%,,,,,,,,,,,176.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631.00%,576.00%,570.00%,574.00%,,5.94,6.61,6.59,6.55,,45.93,10.9,1.74,53.81,10.28,5.96,53.17,9.79,5.79,55.61,12.64,6.84,,,,43.01,18.61,1.88,46.04,16.04,6.97,42.28,13.6,5.5,42.17,17.97,4.06,,,,,,,,1.91,,,,2,,10.73,49.24,10.9,52.93
14,巴山牧业,2017.5.18,青峪猪,,QY3,公,240,85.2,,,64.22,,,,,,,,,,,,,,,,,,,,,,,,,,,75.38%,71,,,,,4.1,3.4,4.05,5.33,4.26,,3.35,8.9,20.87,,1.35,,0.412,,0.515,0.0739,26.13%,,,,,,,,,,,135.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.00%,667.00%,670.00%,673.00%,,5.8,6.63,6.55,6.6,,40.95,9.49,1.13,42.49,7.19,1.56,40.4,8.17,1.54,43.86,9.35,1.89,,,,40.42,19.77,2.94,39.4,17.14,3.96,37.52,15.08,2.45,37.13,17.68,2.57,,,,,,,,0.99,,,,2.5,,3.13,14.91,3.43,14.11
15,巴山牧业,2017.5.18,青峪猪,,QY4,母,240,79.4,,,57.86,,,,,,,,,,,,,,,,,,,,,,,,,,,72.87%,71,,,,,4.44,2.7,3.73,5.15,3.86,,3.2,7.7,17.24,,1.56,,0.3499,,0.5547,0.0954,24.65%,,,,,,,,,,,156.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625.00%,615.00%,611.00%,614.00%,,5.82,6.57,6.49,6.6,,45.02,7.84,1.02,49.72,8.19,3.16,52.05,7.15,3.5,57.54,6.64,4.8,,,,37.63,17.11,3.15,41,14.31,5.48,39.8,11.41,4.4,41.64,15.82,4.39,,,,,,,,1.4,,,,4,,3.44,14.55,2.95,14.13
16,巴山牧业,2017.5.18,青峪猪,,QY5,公,240,90,,,69.72,,,,,,,,,,,,,,,,,,,,,,,,,,,77.47%,71,,,,,4.74,3.4,4.48,6.24,4.707,,3.5,7.8,19.11,,2.37,,0.3667,,0.5539,0.0794,25.96%,,,,,,,,,,,237.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594.00%,633.00%,629.00%,633.00%,,5.89,6.6,6.6,6.6,,40.1,8.26,0.05,39.77,9.18,0.96,42.47,9.74,1.38,41.72,10.17,0.64,,,,38.84,23.25,5.57,40.23,19.53,5.28,36.44,16.43,4.54,40.59,20.87,4.82,,,,,,,,2.07,,,,3,,9.15,42.55,2.06,7.94
17,巴山牧业,2017.5.18,青峪猪,,QY6,母,240,90.4,,,69.5,,,,,,,,,,,,,,,,,,,,,,,,,,,76.88%,71,,,,,3.42,3.4,4.22,5.22,4.28,,3.3,8.8,20.32,,2.18,,0.3445,,0.5706,0.085,24.58%,,,,,,,,,,,218.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.00%,631.00%,622.00%,631.00%,,5.89,6.72,6.7,6.7,,42.54,14.9,1.91,49.56,12.13,3.88,48.22,12.09,3.53,49.43,13.84,4.32,,,,39.13,22.85,4.43,40.74,20.64,5.95,40.3,17.93,6.09,41.34,21.65,5.82,,,,,,,,2.56,,,,2.5,,11.34,54.45,5.99,31.87
18,巴山牧业,2017.5.18,青峪猪,,QY7,公,270,92.3,,,71.36,,,,,,,,,,,,,,,,,,,,,,,,,,,77.31%,73,,,,,4.33,2.61,3.92,5.37,3.967,,3.2,7.7,17.24,,2.58,,0.3318,,0.6041,0.0642,25.12%,,,,,,,,,,,258.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578.00%,667.00%,660.00%,667.00%,,5.47,6.33,6.21,6.23,,41.12,6.65,-1.19,42.7,6.19,1.54,41.67,6.41,0.82,42.57,10,1.43,,,,34.76,18.31,2.5,36.81,17.61,3.88,35.78,14.08,3.02,35.83,18.9,2.55,,,,,,,,1.31,,,,2.5,,4.24,17.83,8.4,39.91
19,巴山牧业,2017.5.18,青峪猪,,QY8,母,270,94.9,,,80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,84.72%,78,,,,,4.18,2.24,3.36,5.21,3.603,,2.4,8.22,13.81,,2.53,,0.3743,,0.5401,0.0856,25.78%,,,,,,,,,,,253.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710.00%,631.00%,621.00%,636.00%,,6.44,6.21,6.22,6.27,,47.56,7.92,3.01,50.8,11.16,5.17,50.43,8.88,2.66,51.01,12.94,6.25,,,,37.39,19.39,2.3,38.88,17.76,5.27,38.26,16.08,5.2,41.25,17.3,4.59,,,,,,,,0.52,,,,3,,9.47,45.77,2.81,10.96
20,巴山牧业,2017.5.18,青峪猪,,QY9,公,270,109.2,,,83.84,,,,,,,,,,,,,,,,,,,,,,,,,,,76.78%,80,,,,,4.74,2.66,4.31,6.53,4.5,,3.45,7.8,18.83,,1.98,,0.3557,,0.5546,0.0897,25.75%,,,,,,,,,,,198.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.00%,655.00%,649.00%,656.00%,,6.09,6.83,6.82,6.81,,48.09,10.56,1.67,52.72,8.97,4.49,51.04,9.27,2.83,51.95,10.44,4.65,,,,39.39,16.31,2.04,42.84,17.58,5.54,41.25,14.84,3.7,41.64,19.41,5.29,,,,,,,,0.72,,,,3,,6.58,31.38,4.25,18.45
