ID,公司,采样时间,猪种,ApH45min,ApH24h,ApH48h,BpH45min,BpH24h,BpH48h
256,眉山万家好,2019.11.23,LY,6.45333,5.50667,5.46,5.7,5.54333,5.48
257,眉山万家好,2019.11.23,LY,5.57,5.56667,5.42333,5.9,5.73667,5.78667
259,眉山万家好,2019.11.23,LY,6.09,5.47667,5.56333,5.56667,5.57667,5.66
260,眉山万家好,2019.11.23,LY,5.26667,5.41,5.40333,5.59,5.67333,5.78
262,眉山万家好,2019.11.23,LY,5.88,5.58333,5.56667,6.32,6.41,6.46333
263,眉山万家好,2019.11.23,LY,6.18333,5.50667,5.51667,6.20667,6.33,6.4
304,绵阳明兴,2019.12.27,YY,6.34333,5.51667,5.49667,5.8,5.71333,5.77333
305,绵阳明兴,2019.12.28,YY,6.27,5.38,5.45667,6.03333,5.86,5.87
306,绵阳明兴,2019.12.29,YY,6.1,5.49333,5.48667,5.96,5.76,5.84667
307,绵阳明兴,2019.12.30,YY,6.52333,5.55667,5.54,6.56333,6.18667,6.29667
308,绵阳明兴,2019.12.31,YY,6.38667,5.44,5.45667,6.14,5.95333,5.95333
309,绵阳明兴,2019.12.32,YY,6.70667,5.48333,5.59,6.14667,5.91,5.99
310,绵阳明兴,2019.12.33,YY,6.32667,5.51,5.55667,5.94667,5.62,5.66667
311,绵阳明兴,2019.12.34,YY,6.22333,5.58667,5.92333,6.3,6.38667,6.52
312,绵阳明兴,2019.12.35,YY,6.48667,5.47667,5.55667,6.16333,5.61333,5.76667
313,绵阳明兴,2019.12.36,YY,6.50667,5.57,5.63333,6.41,6.43667,6.52333
314,绵阳明兴,2019.12.37,LL,6.41667,5.40333,5.45333,6.34333,5.62333,5.63
315,绵阳明兴,2019.12.38,YY,5.95333,5.40333,5.51,6.01667,5.7,5.82
316,绵阳明兴,2019.12.39,LL,6.63333,5.39,5.53667,6.32333,5.97,6.23
317,绵阳明兴,2019.12.40,YY,6.63333,5.49667,5.55333,6.52333,5.68,5.72667
318,绵阳明兴,2019.12.41,LL,6.25667,5.43333,5.48,6.21,5.49333,5.6
319,绵阳明兴,2019.12.42,LL,6.00333,5.35333,5.42433,6.05667,5.91333,5.94333
320,绵阳明兴,2019.12.43,LL,6.02,5.38333,5.4,5.99667,5.57,5.63
321,绵阳明兴,2019.12.44,YY,6.13667,5.40333,5.497,5.91333,5.49,5.56333
322,绵阳明兴,2019.12.45,YY,6.12667,5.42,5.48667,6.30667,5.81333,6.13
323,绵阳明兴,2019.12.46,YY,5.92667,5.41,5.47667,5.93,5.44,5.52333
324,绵阳明兴,2019.12.47,LL,6.38667,5.42333,5.47,6.07333,5.64333,5.65333
325,绵阳明兴,2019.12.48,LL,6.65333,5.44333,5.51667,6.63667,5.60333,5.66333
326,绵阳明兴,2019.12.49,YY,6.80667,5.47667,5.54,6.55667,5.66,5.83333
327,绵阳明兴,2019.12.50,YY,6.76,5.41,5.50667,6.51333,5.73667,5.76
328,绵阳明兴,2019.12.51,LL,6.61667,5.41667,5.45333,6.4,5.64333,5.69667
329,绵阳明兴,2019.12.52,YY,6.8,5.51333,5.52,6.24333,5.51667,5.56667
330,绵阳明兴,2019.12.53,LL,6.18333,5.44667,5.5,6.21667,5.48,5.56333
